round,test_loss,test_accuracy,test_avg_conf,test_ece,test_ks
1,0.8136095118522644,0.7665,0.7931140661239624,0.03142132610082626,0.4885780495061537
2,2.2402981063842775,0.3917,0.8266100287437439,0.43490999937057495,0.4847319089586648
3,1.284130842113495,0.59,0.7283067107200623,0.13836818933486938,0.5703348491112029
4,1.038823472881317,0.6301,0.7583609223365784,0.12826095521450043,0.5686206341599935
5,0.9347503219604493,0.6637,0.7775102257728577,0.1139153316617012,0.55867414633836
6,0.6230928395748139,0.8225,0.8974782824516296,0.07497838139533997,0.5201661030009846
1,0.9505913457870483,0.7354,0.7190256714820862,0.03379147872328758,0.46748197360109245
2,2.548587984085083,0.3766,0.8214757442474365,0.4448758065700531,0.45246452266714104
3,1.5126019897460938,0.5234,0.7047760486602783,0.18137609958648682,0.5600196975423452
4,1.2218733375549315,0.5981,0.7116060853004456,0.11533425003290176,0.5338516815232976
5,1.1111577280044556,0.6189,0.7343839406967163,0.1157374382019043,0.5516321162825217
6,0.6582160165786743,0.8129,0.8646957874298096,0.052621401846408844,0.514140471008673
7,1.2912431526184083,0.5743,0.8045897483825684,0.23038695752620697,0.3857762149474203
8,0.9800105520248413,0.6832,0.8051221370697021,0.1219722107052803,0.30549937312232395
9,0.9447361185073853,0.7371,0.8371322751045227,0.10019464790821075,0.4547407239178508
10,0.9652254156112671,0.6926,0.8335087895393372,0.14190387725830078,0.3295327066633025
11,0.5671460230827332,0.8007,0.8370734453201294,0.03726761415600777,0.5530286438403026
12,0.755225831079483,0.7329,0.7996427416801453,0.06674280017614365,0.5129400091204638
13,0.6172344504833222,0.7856,0.8225177526473999,0.04332194849848747,0.4157360473599417
14,0.8801863045692444,0.7602,0.871900737285614,0.11195691674947739,0.4620652042974513
15,0.970315744304657,0.6734,0.852838933467865,0.17943905293941498,0.5698995564274193
16,0.6580838413715363,0.7909,0.8975787162780762,0.10667875409126282,0.5464002623336386
17,0.8261296569824219,0.7323,0.8706269264221191,0.13833244144916534,0.4163420718497062
18,0.6771966198921203,0.7727,0.8377812504768372,0.06526786834001541,0.5084459102645484
19,0.5657250164508819,0.8394,0.9176392555236816,0.07831645011901855,0.5495138109383119
20,0.963568172454834,0.7159,0.8833503723144531,0.16779722273349762,0.3796182542273188
21,0.6590956450462341,0.7825,0.8513685464859009,0.06886854022741318,0.509829238735265
22,0.8844624201774597,0.6967,0.8655316233634949,0.16908644139766693,0.5927174176257711
23,0.5123533500194549,0.8321,0.8896900415420532,0.05762309581041336,0.5523906411864783
24,0.6496853254318238,0.8083,0.9139649868011475,0.10566499829292297,0.5500092900270285
25,0.630523999786377,0.7878,0.8598284721374512,0.07214328646659851,0.5403482275291982
26,0.5338995498657226,0.8234,0.8759675621986389,0.052944231778383255,0.4962025257261346
27,0.8648769920349121,0.7077,0.8723302483558655,0.16463032364845276,0.5969855754628319
28,0.6664326585769653,0.8076,0.9185066223144531,0.11090654879808426,0.5496054117896614
29,0.81554363155365,0.7467,0.8991134762763977,0.15316034853458405,0.4638063486710919
30,0.5283082268714905,0.8366,0.9050212502479553,0.06867466866970062,0.5542928757215412
31,0.669387699842453,0.8108,0.9229030013084412,0.1121029481291771,0.5539268501028921
32,0.6077905491352081,0.8472,0.9341802597045898,0.0869801789522171,0.5351017704146458
33,0.8443271506309509,0.7164,0.8761494159698486,0.16021797060966492,0.5990651029792434
34,0.820682635307312,0.7512,0.9062281250953674,0.15502814948558807,0.4752687233117259
35,0.7923871516227722,0.7552,0.9049266576766968,0.14977122843265533,0.4844459676525978
36,0.5819848324298859,0.8145,0.8851515650749207,0.070954330265522,0.533601716860343
37,0.6238467887878418,0.813,0.8957669734954834,0.08276701718568802,0.5220704987798541
38,0.6183320785999298,0.848,0.9388654232025146,0.09089988470077515,0.5350546176762662
39,0.5425408595085144,0.8322,0.9014941453933716,0.06929414719343185,0.5222361052270659
40,0.6167994910955429,0.8487,0.9393715858459473,0.09067151695489883,0.5352759490409927
41,0.849940327167511,0.7995,0.921676516532898,0.12268957495689392,0.4746648076494193
42,0.5448555421113968,0.8404,0.9162579774856567,0.0763518437743187,0.5545727121230015
43,0.5385095087051391,0.8421,0.9167561531066895,0.07494445890188217,0.5606697090621857
44,0.9054029356002807,0.7504,0.9127023220062256,0.16238051652908325,0.44908612842381496
45,0.6276662772178649,0.8495,0.9421509504318237,0.09265101701021194,0.5327914211799397
46,0.5659017549991607,0.8263,0.8972972631454468,0.07175114750862122,0.5304522849882367
47,0.5382782251834869,0.8443,0.919763445854187,0.0759957954287529,0.563012565809287
48,0.6184278150558472,0.8248,0.9100600481033325,0.08525997400283813,0.529486600321539
49,0.7866768696784973,0.7649,0.9136105179786682,0.14871054887771606,0.5088824604000746
50,0.6313189841747284,0.8501,0.9435859322547913,0.09348590672016144,0.5328945721489894
